id,title,author,image,price,category,stock,description,created_at,updated_at,sales_count
B021,Business Strategy,"David Campbell, George Stonehouse, Bill Houston",https://books.google.com/books/content?id=YZVabMVylp0C&printsec=frontcover&img=1&zoom=1&fife=w800,176947,Business & Economics,50,'Business Strategy: an introduction' is an accessible textbook that provides a straightforward guide for those with little or no knowledge of the subject. It presents complex issues and concepts in a ,2026-04-06 16:04:27,2026-04-06 16:04:27,96
B022,Operations Management,Mike Pycraft,https://books.google.com/books/content?id=v6tVJ43nuD0C&printsec=frontcover&img=1&zoom=1&fife=w800,147223,Just-in-time systems,76,,2026-04-06 16:04:27,2026-04-06 16:04:27,118
B023,Business Strategy,Bengt Karloff,https://books.google.com/books/content?id=RnqxCwAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,183307,Business & Economics,81,The book covers definitions and examples of well known concepts and models in business strategy. This need from stems inefficiency and confusion in communication between people in organisations as the,2026-04-06 16:04:27,2026-04-06 16:04:27,248
B024,Strategic Market Management,"David A. Aaker, Damien McLoughlin",https://books.google.com/books/content?id=tpW22FvYvn8C&printsec=frontcover&img=1&zoom=1&fife=w800,123416,Business & Economics,82,"The text is a European adaptation of our current US book: Strategic Market Management, 9th Edition by David Aaker. This new edition is a mainstream text suitable for all business students studying str",2026-04-06 16:04:27,2026-04-06 16:04:27,216
B025,Exploring Management,"John R. Schermerhorn, Jr",https://books.google.com/books/content?id=dkd98RXEzmEC&printsec=frontcover&img=1&zoom=1&fife=w800,172836,Business & Economics,37,"Exploring Management, Second Edition by John Schermerhorn, presents a new and exciting approach in teaching and learning the principles of management. This text is organized within a unique learning s",2026-04-06 16:04:27,2026-04-06 16:04:27,109
B026,Business Strategy (The Brian Tracy Success Library),Brian Tracy,https://books.google.com/books/content?id=aF7jBgAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,198661,Business & Economics,98,Taking control of your company’s destiny starts with planning strategically from the beginning. How will you determine if your company has succeeded if you can’t base its performance on a well-defined,2026-04-06 16:04:27,2026-04-06 16:04:27,193
B027,Managing Globally with Information Technology,Sherif Kamel,https://books.google.com/books/content?id=3sb5PUqBAiMC&printsec=frontcover&img=1&zoom=1&fife=w800,98582,Business & Economics,73,"""As the world economy becomes more interdependent and competition more global, the information technology management challenges of enabling the global marketplace must be met with innovative solutions",2026-04-06 16:04:27,2026-04-06 16:04:27,223
B028,Business Strategy,J. -C. Spender,https://books.google.com/books/content?id=RGuJAgAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,82220,Business & Economics,32,"What is strategy? For many it is the application of a theory, model or framework. In this book Spender develops a different creative approach. Emphasizing that firms face uncertainties and unknowns (k",2026-04-06 16:04:27,2026-04-06 16:04:27,223
B029,"Managing and Using Information Systems: A Strategic Approach, Australia and New Zealand Edition","Keri E. Pearlson, Carol S. Saunders, Dennis F. Galletta",https://books.google.com/books/content?id=yfC1EQAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,134986,Computers,32,"Managing & Using Information Systems: A Strategic Approach provides a solid knowledge base of basic concepts to help readers become informed, competent participants in Information Systems (IS) decisio",2026-04-06 16:04:27,2026-04-06 16:04:27,148
B030,Human Resource Development,John P. Wilson,https://books.google.com/books/content?id=zpNc_GZIiikC&printsec=frontcover&img=1&zoom=1&fife=w800,119608,Business & Economics,39,"""The book will provide both thought-provoking questions and stimulating answers to the key factors in HR development today."" IT Training Human Resource Development is the ideal handbook for all profes",2026-04-06 16:04:27,2026-04-06 16:04:27,92
B031,Business Strategy,"The Economist, Jeremy Kourdi",https://books.google.com/books/content?id=uQ-CBgAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,153499,Business & Economics,44,"The effectiveness of a good strategy well implemented determines a business' future success or failure. Yet history is full of strategic decisions, big and small, that were ill-conceived, poorly organ",2026-04-06 16:04:27,2026-04-06 16:04:27,131
B032,The Delta Model,Arnoldo C. Hax,https://books.google.com/books/content?id=ROSTnjmTjxQC&printsec=frontcover&img=1&zoom=1&fife=w800,160864,Business & Economics,51,"Strategy is the most central issue in management. It has to do with defining the purpose of an organization, understanding the market in which it operates and the capabilities the firm possesses, and ",2026-04-06 16:04:27,2026-04-06 16:04:27,257
B033,7 Powers,Hamilton Helmer,https://books.google.com/books/content?id=9p1evgAACAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,113738,Business & Economics,38,"7 Powers details a strategy toolset that enables you to build an enduringly valuable company. It was developed by Hamilton Helmer drawing on his decades of experience as a strategy advisor, equity inv",2026-04-06 16:04:27,2026-04-06 16:04:27,154
B034,Innovations Through Information Technology,Information Resources Management Association. International Conference,https://books.google.com/books/content?id=OrYRXSEIeQgC&printsec=frontcover&img=1&zoom=1&fife=w800,114402,Business & Economics,31,Innovations Through Information Technology aims to provide a collection of unique perspectives on the issues surrounding the management of information technology in organizations around the world and ,2026-04-06 16:04:27,2026-04-06 16:04:27,244
B035,Business,Unknown,https://books.google.com/books/content?id=x2siAQAAMAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,138909,Business,85,,2026-04-06 16:04:27,2026-04-06 16:04:27,48
B036,Business Strategy,Jeremy Kourdi,https://books.google.com/books/content?id=B6cPD2GJGG0C&printsec=frontcover&img=1&zoom=1&fife=w800,97073,Business & Economics,91,"This updated, useful book on business strategy, with The Economist brand, shows today’s manager how to create and sustain a dynamic, profitable business with techniques to support effective decisions.",2026-04-06 16:04:27,2026-04-06 16:04:27,217
B037,Developing Business Strategies,David A. Aaker,https://books.google.com/books/content?id=Jkf2EAAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,92061,Business & Economics,64,"""Unquestionably the most comprehensive treatment available on the subject. I found this book unique in its capacity to benefit executives, planning staff, and students of strategy alike."" —Robert L. J",2026-04-06 16:04:27,2026-04-06 16:04:27,247
B038,Handbook of Business Strategy,Harold E. Glass,https://books.google.com/books/content?id=Dma1AAAAIAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,123521,Business & Economics,14,,2026-04-06 16:04:27,2026-04-06 16:04:27,52
B039,Business Strategy Essentials You Always Wanted To Know,Vibrant Publishers,https://books.google.com/books/content?id=PGuDDwAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,86879,Business & Economics,88,Business Strategy Essentials You Always Wanted To Know prepares new managers and leaders with building blocks of strategy. You will learn how to define strategy and how strategy differs at different l,2026-04-06 16:04:27,2026-04-06 16:04:27,211
B040,The Magazine of Business,Unknown,https://books.google.com/books/content?id=ScvNAAAAMAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,160219,Business,90,,2026-04-06 16:04:27,2026-04-06 16:04:27,218
B041,Now I Choose - Self Help Motivation & Inspiration,Rick Smith,https://books.google.com/books/content?id=S0ppaa0H12AC&printsec=frontcover&img=1&zoom=1&fife=w800,189906,Self-Help,33,"Easy motivational self help book to improve self esteem, build confidence, positive thinking habits, self improvement, with inspirational bible quotes.",2026-04-06 16:04:27,2026-04-06 16:04:27,290
B042,Self-Esteem And Motivation,Changez SATTAR,https://books.google.com/books/content?id=Vc8dzAEACAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,124373,General,77,"""Believe in yourself.""In this book you will get to know about ""How to motivate yourself "" self-help and motivation We are told that we can accomplish anything if we believe in ourselves. Of course, we",2026-04-06 16:04:27,2026-04-06 16:04:27,195
B043,Success Sculptors: Mastering Self-Improvement,Shu Chen Hou,https://books.google.com/books/content?id=NX-0EAAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,105742,Self-Help,33,"Unlock Your Potential with ""Success Sculptors: Mastering Self-Improvement"" Are you ready to transform your life, unlock your true potential, and sculpt a future filled with success and fulfillment? Lo",2026-04-06 16:04:27,2026-04-06 16:04:27,60
B044,Self-Care for Busy Professionals: Simple Strategies for Managing Stress and Burnout,Shu Chen Hou,https://books.google.com/books/content?id=j2OyEAAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,161049,Self-Help,82,"Unlock a Healthier, Happier You with ""Self-Care for Busy Professionals"" Are you a busy professional caught in the relentless whirlwind of work, life, and endless responsibilities? Do you often find yo",2026-04-06 16:04:27,2026-04-06 16:04:27,206
B045,The Recovery Equation: Motivational Enhancement/Choice Awareness/Use Prevention - an Innovative Clinical Curriculum for Substance Use/Addictions Treatment,"Pavel G. Somov, Ph.D.",https://books.google.com/books/content?id=cL4XAwAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,117539,General,28,,2026-04-06 16:04:27,2026-04-06 16:04:27,42
B046,Official Gazette of the United States Patent and Trademark Office,Unknown,https://books.google.com/books/content?id=1EgbAQAAMAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,185582,Trademarks,18,,2026-04-06 16:04:27,2026-04-06 16:04:27,114
B047,Official Gazette of the United States Patent and Trademark Office,Unknown,https://books.google.com/books/content?id=5sc7vHMk9ecC&printsec=frontcover&img=1&zoom=1&fife=w800,102567,Trademarks,26,,2026-04-06 16:04:27,2026-04-06 16:04:27,101
B048,Psychology,"Don H. Hockenbury, Sandra E. Hockenbury",https://books.google.com/books/content?id=RwMBD5TSMawC&printsec=frontcover&img=1&zoom=1&fife=w800,91268,Psychology,86,"New edition of the Hockenburys' text, which draws on their extensive teaching and writing experiences to speak directly to students who are new to psychology.",2026-04-06 16:04:27,2026-04-06 16:04:27,235
B049,Self-help Methods of Teaching English,Julia Helen Wohlfarth,https://books.google.com/books/content?id=DMpBAAAAIAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,144105,English language,49,,2026-04-06 16:04:27,2026-04-06 16:04:27,249
B050,"How to Enhance Learning Efficiency When Online Learning is Popular and Indispensable: Theory, Research and Practice","Rong Lian, Chang Liu , Juzhe Xi",https://books.google.com/books/content?id=fZgUEQAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,184619,Science,74,"Online learning has become more and more common globally, whether for comfort, adapting to work hours or just having the freedom to study from anywhere. And now under the coronavirus pandemic, as peop",2026-04-06 16:04:27,2026-04-06 16:04:27,296
B051,Motivational Self-Help: Unlocking Your Potential for a Fulfilling Life,Sourav Majumder,https://books.google.com/books/content?id=0erDEAAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,102843,Self-Help,72,"Unlock the door to your limitless potential and embark on a transformative journey towards a truly fulfilling life. In this motivational self-help guide, you will discover the essential tools and stra",2026-04-06 16:04:27,2026-04-06 16:04:27,28
B052,Self-Help 101,Skylar Colon,https://books.google.com/books/content?id=tbNvzgEACAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,99890,General,71,"WHEN YOU ARE MOTIVATED, THE WORLD IS YOUR OYSTER. Unfortunately, many of us struggle with becoming motivated, and even the simplest request may seem like you are being asked to split the atom with a t",2026-04-06 16:04:27,2026-04-06 16:04:27,70
B053,Self Improvement and Motivation for Success,Walid Djw,https://books.google.com/books/content?id=fyuBzQEACAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,169372,General,36,Self Improvement and Motivation for Success Are You Underconfident And Shy? Do You Feel Tongue-Tied While Interacting With Your Boss? Does Setting Professional and Personal Goals Feel Like a Herculean,2026-04-06 16:04:27,2026-04-06 16:04:27,24
B054,The 101 Best Web Sites,Mike Johnson,https://books.google.com/books/content?id=_FZ59nx9KBoC&printsec=frontcover&img=1&zoom=1&fife=w800,86663,Business,54,,2026-04-06 16:04:27,2026-04-06 16:04:27,150
B055,Self-help & Personal Development,Aniekan Udott,https://books.google.com/books/content?id=nZZt0AEACAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,179908,Self-Help,21,"""Self-help & Personal Development: Self-improvement, Personal Growth & Motivation"" is a comprehensive guide that explores various aspects of self-improvement and personal growth. It covers a wide rang",2026-04-06 16:04:27,2026-04-06 16:04:27,216
B056,Practice Guideline for the Treatment of Patients with Nicotine Dependence,American Psychiatric Association. Work Group on Nicotine Dependence,https://books.google.com/books/content?id=vyZsAAAAMAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,175323,Medical,73,"This work provides guidance on the care of patients with cigarette-related nicotine dependence. However, not all smokers meet DSV-IV criteria, some have comorbid psychiatric conditions which are not d",2026-04-06 16:04:27,2026-04-06 16:04:27,62
B057,101 Self Help Tips,Muhammad Faraz Khan,https://books.google.com/books/content?id=P89_uwEACAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,194235,Psychology,98,"In this e-Book you will know the 101 Tips to find motivation and reach your goals, self help books for anxiety and depression. If you find that you can't bring yourself to go through the necessary act",2026-04-06 16:04:27,2026-04-06 16:04:27,218
B058,Standard Service Arithmetics,"Frederic Butterfield Knight, John Ward Studebaker, Giles Murrel Ruch",https://books.google.com/books/content?id=AjJCAAAAIAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,192518,Arithmetic,57,,2026-04-06 16:04:27,2026-04-06 16:04:27,46
B059,The Modern Life Arithmetics,"J. G. Fowlkes, Thomas Theodore Goff",https://books.google.com/books/content?id=FqAZAQAAIAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,186183,Arithmetic,14,,2026-04-06 16:04:27,2026-04-06 16:04:27,224
B060,Don't Be Busy Be Productive Inspiration Motivated Quotes Self Help Notebook,Nancy Prints,https://books.google.com/books/content?id=0jxZzQEACAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,81034,General,17,"Don't be busy be productive Inspiration Motivated Quotes Self Help notebookquotes inspirational motivationthe motivation for life, better yourself, motivational quotes, self-improvement, motivation, a",2026-04-06 16:04:27,2026-04-06 16:04:27,59
B061,The Gold of Akada: A Jungle Adventure Novel,John Russell Fearn,https://books.google.com/books/content?id=rUr0AAAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,80291,Fiction,98,"Harry Perrivale's expedition into the African jungle is destined to be singularly ill-fated. Accompanied by native bearers, his wife Rita, and trader Caleb Moon, he hopes to find the legendary lost ci",2026-04-06 16:04:27,2026-04-06 16:04:27,275
B062,Legacy from Sirius,John Russell Fearn,https://books.google.com/books/content?id=TUH0AAAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,121186,Fiction,51,"When a young scientist discovers how to foreshorten space by using higher dimensions, it opens up the possibilities for almost instantaneous interstellar travel, initially using unmanned probes. The f",2026-04-06 16:04:27,2026-04-06 16:04:27,160
B063,Zagribud: A Classic Space Opera,John Russell Fearn,https://books.google.com/books/content?id=w5wwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,178746,Fiction,12,"In this sequel to John Russell Fearn’s classic Liners of Time, Time Liner Pilot Sandford Lee continues his battle against Elnek Jelfel, the Jovian wizard of science intent on galactic domination. Zagr",2026-04-06 16:04:27,2026-04-06 16:04:27,299
B064,Island of the Damned,Murat Ukray,https://books.google.com/books/content?id=QhDCEQAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,113871,Fiction,33,Some islands are erased from maps. Others are erased from memory. This story belongs to the latter.! Island of the Damned is not merely a work of speculative fiction. It is an examination of a recurri,2026-04-06 16:04:27,2026-04-06 16:04:27,279
B065,Catalogue of English Prose Fiction & Juvenile Books ...,Chicago Public Library,https://books.google.com/books/content?id=NIdAAAAAYAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,174802,English fiction,55,,2026-04-06 16:04:27,2026-04-06 16:04:27,178
B066,Manton's World,John Russell Fearn,https://books.google.com/books/content?id=LT70AAAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,192226,Fiction,87,"Randle Manton has brought the Earth back from the brink of nuclear disaster, painstakingly rebuilding a nearly destroyed civilization, even reaching out to space. But now he's told that the clouds cov",2026-04-06 16:04:27,2026-04-06 16:04:27,39
B067,"The Central Intelligence: The Golden Amazon Saga, Book Seven",John Russell Fearn,https://books.google.com/books/content?id=6aT0AAAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,170019,Fiction,69,"The Golden Amazon’s arch-enemy, Sefner Quorne, discovers that all mental gifts, such as memory and creativity, are not inherent in human brains and mental make-up, but are something that is broadcast ",2026-04-06 16:04:27,2026-04-06 16:04:27,163
B068,The Publishers Weekly,Unknown,https://books.google.com/books/content?id=UREy_7PyaBsC&printsec=frontcover&img=1&zoom=1&fife=w800,99338,American literature,54,,2026-04-06 16:04:27,2026-04-06 16:04:27,196
B069,"Dwellers in Darkness: The Golden Amazon Saga, Book Fourteen",John Russell Fearn,https://books.google.com/books/content?id=51BNAgAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,199925,Fiction,85,"Voyaging into a sector of interstellar space that is plunged into total darkness with an absolute absence of any light, the four Cosmic Crusaders encounter their most powerful and sinister enemy yet--",2026-04-06 16:04:27,2026-04-06 16:04:27,257
B070,The Amethyst City,John Russell Fearn,https://books.google.com/books/content?id=sSj0AAAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,134437,Fiction,80,"The human-occupied planets in the Solar System, Earth and Mars, are suddenly threatened with a space-borne plague that rusts and destroys all metals. If the ""disease"" continues unchecked, all of civil",2026-04-06 16:04:27,2026-04-06 16:04:27,77
B071,Bulletin of Bibliography and Magazine Subject-index,Unknown,https://books.google.com/books/content?id=_yEDAAAAYAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,166558,Bibliography,37,,2026-04-06 16:04:27,2026-04-06 16:04:27,227
B072,Literary Market Place,"John Keith Hanrahan, Anne Jones Richter",https://books.google.com/books/content?id=h3okAQAAIAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,149591,Authorship,24,The business directory of American book publishing.,2026-04-06 16:04:27,2026-04-06 16:04:27,183
B073,Kingpin Planet,John Russell Fearn,https://books.google.com/books/content?id=i8WvpxOQuY0C&printsec=frontcover&img=1&zoom=1&fife=w800,104654,Fiction,56,"The Cosmic Crusaders are plunged into a strange new space, where all the probabilities of electronic law are strangely altered, a complete and stunning inversion of all so-called natural laws. They di",2026-04-06 16:04:27,2026-04-06 16:04:27,221
B074,"Catalogue...authors, Titles, Subjects, and Classes",Brooklyn Public Library,https://books.google.com/books/content?id=FNlGAQAAMAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,162915,Library catalogs,89,,2026-04-06 16:04:27,2026-04-06 16:04:27,38
B075,2004 Novel and Short Story Writer's Market,"Anne Bowling, Michael Schweer, Vanessa Lyman",https://books.google.com/books/content?id=OTB1OfPQp3cC&printsec=frontcover&img=1&zoom=1&fife=w800,167150,Language Arts & Disciplines,15,"Lists addresses and information on contacts, pay rates, and submission requirements, and includes essays on the craft of writing.",2026-04-06 16:04:27,2026-04-06 16:04:27,145
B076,The Book Monthly,Unknown,https://books.google.com/books/content?id=QA0SAAAAIAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,137929,"Bibliography, National",77,,2026-04-06 16:04:27,2026-04-06 16:04:27,93
B077,Bankers Magazine,Unknown,https://books.google.com/books/content?id=h17D4ATkOuEC&printsec=frontcover&img=1&zoom=1&fife=w800,118518,Banks and banking,72,,2026-04-06 16:04:27,2026-04-06 16:04:27,171
B078,"A book for all readers, designed as an aid to the collection, use and preservation of books",Ainsworth Rand Spofford,https://books.google.com/books/content?id=Ju2Sa8RhpjcC&printsec=frontcover&img=1&zoom=1&fife=w800,196661,General,15,,2026-04-06 16:04:27,2026-04-06 16:04:27,240
B079,Public Libraries,Unknown,https://books.google.com/books/content?id=zK4UAAAAYAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,104540,Libraries,32,,2026-04-06 16:04:27,2026-04-06 16:04:27,250
B080,The London Mercury,Unknown,https://books.google.com/books/content?id=QN4gxHjwhK8C&printsec=frontcover&img=1&zoom=1&fife=w800,103855,English literature,34,,2026-04-06 16:04:27,2026-04-06 16:04:27,20
B081,Returnee Entrepreneurs and Tech Startups in India,"M H Bala Subrahmanya, Ganesaraman Kalyanasundaram, K M Sharath Kumar, Jon Thomas",https://books.google.com/books/content?id=6aHCEQAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,157353,Business & Economics,26,"Returnee entrepreneurship is gaining traction globally. Returnee entrepreneurs tend to possess significant knowledge capital, international social capital, financial capital, managerial, and entrepren",2026-04-06 16:04:27,2026-04-06 16:04:27,266
B082,Understanding Startups From Idea to Market,"Yenchun Jim Wu, Chih-Hung Yuan, Mu-Yen Chen",https://books.google.com/books/content?id=j0BpEAAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,99204,Science,10,,2026-04-06 16:04:27,2026-04-06 16:04:27,173
B083,Disciplined Entrepreneurship,Bill Aulet,https://books.google.com/books/content?id=QbY2AAAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,81930,Business & Economics,25,"24 Steps to Success! Disciplined Entrepreneurship will change the way you think about starting a company. Many believe that entrepreneurship cannot be taught, but great entrepreneurs aren’t born with ",2026-04-06 16:04:27,2026-04-06 16:04:27,156
